title,price,lt,lb
"Rumah di Green Lake City , Cluster Asia 6x16 , SHM , Hadap Utara","Rp 2,09 Miliar",  96 m²,  100 m²
"Rumah di Green Lake City, Cluster East Asia Uk.6x15, Semi Furnish","Rp 2,3 Miliar",  90 m²,  127 m²
"Rumah di Green Lake City , Cluster East Asia 4x15 , SHM , Selatan","Rp 1,5 Miliar",  60 m²,  87 m²
Dijual Rumah Garden House Pik Pantai Indah Kapuk,"Rp 10,5 Miliar",  250 m²,  250 m²
Rumah Mozart Golf Island View Golf ,Rp 19 Miliar,  360 m²,  360 m²
Rumah Golfisland View Golf Danau Laut Harga Jamin Termurah ,"Rp 14,5 Miliar",  320 m²,  400 m²
Rumah Golfisland Termurah Pantai Indah Kapuk,"Rp 5,1 Miliar",  150 m²,  150 m²
Murah Rumah Golf Island Pik 6X15 - Kondisi Ready,"Rp 2,95 Miliar",  90 m²,  120 m²
Spesialis Termurah Rumah Pik2 8X15 - Cluster Danau,"Rp 3,95 Miliar",  120 m²,  170 m²
Rumah Pantai Indah Kapuk 332M2 (View Mangrove),"Rp 19,9 Miliar",  332 m²,  1200 m²
Meruya Kav Dki Rumah Siap Huni Lokasi Bagus,"Rp 2,3 Miliar",  125 m²,  145 m²
Andre Tjhia Meruya Siap Huni Uk 5x25 Lokasi Sangat Bagus,"Rp 2,4 Miliar",  125 m²,  160 m²
"Andre Tjhia Meruya 5X25 Murah 2,25M Scandinavian House Siap Huni","Rp 2,25 Miliar",  125 m²,  165 m²
Pondok Indah Nyc Vibe 4 Lantai Area Premium Unit Langka,"Rp 9,9 Miliar",  140 m²,  392 m²
"Andre Tjhia Meruya American Classic Style Uk. 5X17,5 Hrg 1,99M Bebas Ubah Layout Dan Fasad","Rp 1,99 Miliar",  87 m²,  115 m²
Rumah Mewah Di Dekat Aeon Mall Dan Ikea Jakarta Garden City Cakung,"Rp 2,2 Miliar",  84 m²,  79 m²
"Rumah Mewah Lokasi Selangkah Ke Area Komersial Metland Menteng, Cakung. , Jakarta Timur Rumah","Rp 2,9 Miliar",  105 m²,  108 m²
"Rumah Mewah Kt 4, Lokasi Premium Dan Selangkah Ke Area Komersial Jakarta Garden City, Cakung, Jakarta Timur","Rp 3,2 Miliar",  105 m²,  140 m²
ANA*RUMAH BAGUS 3.25LT LUAS 6X15M JLN MOBIL DI JELAMBAR - *GOOD-DEAL!!*,"Rp 2,75 Miliar",  90 m²,  198 m²
"ANA*RUMAH BAGUS 2.5LT LUAS 4X15M FURNISHED BAGUS, BEBAS-BANJIR DI KOMP. KAV.POLRI JELAMBAR - *GOOD-DEAL!!*","Rp 1,69 Miliar",  60 m²,  118 m²
ANA*RUMAH BAGUS 4LT LUAS 10X19.8M KOKOH ADA GAZEBO DI JELAMBAR - *GOOD-DEAL!!*,"Rp 5,95 Miliar",  192 m²,  598 m²
ANA*RUMAH BAGUS MURAH 2.25LT LUAS 6X20M DI JELAMBAR - *GOOD-DEAL!!*,"Rp 2,8 Miliar",  120 m²,  228 m²
ANA*RUMAH BAGUS 3LT LUAS 4.9X13.5M NGANTONG HOKI DI JELAMBAR - *GOOD-DEAL!!*,"Rp 1,89 Miliar",  75 m²,  168 m²
"Rumah Uk 8x18m2 ,Unit Langka","Rp 3,25 Miliar",  144 m²,  206 m²
"ANA*RUMAH MURAH LUAS 9X13M2, 16JT-an PerM2 DI KOMPLEK LOKASI TENANG JELAMBAR - *GOOD-DEAL!!*","Rp 1,89 Miliar",  117 m²,  83 m²
"Dijual Rumah Green Lake City, Lt 11x15 Meter, Hoek, Lokasi Bagus",Rp 3 Miliar,  165 m²,  126 m²
"Dijual Rumah Green Lake City, West Europe Uk 10x15m2, Full Renov","Rp 4,5 Miliar",  150 m²,  250 m²
Dijual Rumah Green Lake City Uk. 8x18m2 Full Furnished,"Rp 4,2 Miliar",  144 m²,  150 m²
Di jual rumah akses 2 mobil di Cempaka putih,"Rp 1,36 Miliar",  39 m²,  77 m²
Gading Kirana Barat 11x17 Selatan 3 Lantai Kelapa Gading ,"Rp 9,5 Miliar",  187 m²,  340 m²
"Jual Rugi Rumah 4,5x10 3 Lantai Pik 2 Owner Bu ","Rp 1,6 Miliar",  45 m²,  70 m²
Dijual Rumah Minimalis Modern Villa Tomang Mas Duri Kepa Tanjung Duren Brand New Renov Siap Huni,"Rp 4,45 Miliar",  120 m²,  200 m²
